;+
;> TEMPLATE31 = '00188-0856'
;> TEMPLATE61 = '00183-7111'
;
;  The 3.1 um H20 ice feature of 00188-0856 has tau=1.8
;  from Imanishi et al. (2006), and the 6.1 um H20 ice 
;  feature from the GTO Spitzer/IRS spectrum has tau=0.46,
;  giving tau(3.1)/tau(6.1)~4 for water ice.
;
;  The 00183-7111 GTO Spitzer/IRS spectrum was used as the
;  6.1 um template since it contains *no* detectable 6.2 um
;  PAH emission.
;-

;~            WAVE          OPACITY
     6.0474049E+00    9.8054763E-01
     6.0601411E+00    9.8802395E-01
     6.0729042E+00    9.9509502E-01
     6.0856941E+00    9.9841307E-01
     6.0985110E+00    1.0000000E+00
     6.1113549E+00    1.0000000E+00
     6.1242258E+00    9.9823487E-01
     6.1371238E+00    9.9539156E-01
     6.1500490E+00    9.9539156E-01
     6.1630014E+00    9.9453956E-01
     6.1759811E+00    9.8974032E-01
     6.1889881E+00    9.8204494E-01
     6.2020225E+00    9.6598578E-01
     6.2150844E+00    9.3928898E-01
     6.2281738E+00    9.0898782E-01
     6.2412907E+00    8.7665833E-01
     6.2544353E+00    8.5364914E-01
     6.2676076E+00    8.3446651E-01
     6.2808076E+00    8.1934554E-01
     6.2940354E+00    8.1200835E-01
     6.3072910E+00    8.0565744E-01
     6.3205746E+00    8.0238234E-01
     6.3338862E+00    8.0184419E-01
     6.3472257E+00    8.0184419E-01
     6.3605934E+00    7.9230800E-01
     6.3739893E+00    7.8521002E-01
     6.3874133E+00    7.8024844E-01
     6.4008656E+00    7.7527312E-01
     6.4143463E+00    7.7029215E-01
     6.4278553E+00    7.6529453E-01
     6.4413928E+00    7.6025632E-01
     6.4549588E+00    7.5272669E-01
     6.4685534E+00    7.4474205E-01
     6.4821766E+00    7.3466823E-01
     6.4958285E+00    7.2369662E-01
     6.5095091E+00    7.1105071E-01
     6.5232186E+00    6.9615468E-01
     6.5369569E+00    6.7992906E-01
     6.5507242E+00    6.6719831E-01
     6.5645204E+00    6.5445035E-01
     6.5783458E+00    6.4167113E-01
     6.5922002E+00    6.3028319E-01
     6.6060838E+00    6.2002477E-01
     6.6199967E+00    6.1167829E-01
     6.6339388E+00    6.0395230E-01
     6.6479103E+00    5.8865699E-01
     6.6619113E+00    5.7231985E-01
     6.6759417E+00    5.5627256E-01
     6.6900017E+00    5.4092282E-01
     6.7040913E+00    5.2600060E-01
     6.7182105E+00    5.1160288E-01
     6.7323595E+00    4.9774514E-01
     6.7465383E+00    4.8435747E-01
     6.7607470E+00    4.7148736E-01
     6.7749856E+00    4.5907057E-01
     6.7892541E+00    4.4709111E-01
     6.8035528E+00    4.3555102E-01
     6.8178815E+00    4.2442172E-01
     6.8322404E+00    4.1369244E-01
     6.8466296E+00    4.0345314E-01
     6.8610490E+00    3.9345445E-01
     6.8754989E+00    3.8395451E-01
     6.8899791E+00    3.7464509E-01
     6.9044899E+00    3.6561225E-01
     6.9190312E+00    3.5700032E-01
     6.9336031E+00    3.4872690E-01
     6.9482058E+00    3.4070694E-01
     6.9628391E+00    3.3299032E-01
     6.9775033E+00    3.2556234E-01
     6.9921984E+00    3.1836948E-01
     7.0069245E+00    3.1142770E-01
     7.0216815E+00    3.0471798E-01
     7.0364696E+00    2.9827922E-01
     7.0512889E+00    2.9193936E-01
     7.0661394E+00    2.8587677E-01
     7.0810212E+00    2.8001142E-01
     7.0959343E+00    2.7423263E-01
     7.1108788E+00    2.6872008E-01
     7.1258548E+00    2.6329106E-01
     7.1408623E+00    2.5801674E-01
     7.1559014E+00    2.5286819E-01
     7.1709722E+00    2.4783730E-01
     7.1860748E+00    2.4290655E-01
     7.2012091E+00    2.3806984E-01
     7.2163753E+00    2.3332574E-01
     7.2315735E+00    2.2865204E-01
     7.2468037E+00    2.2403609E-01
     7.2620659E+00    2.1947791E-01
     7.2773603E+00    2.1493839E-01
     7.2926869E+00    2.1044054E-01
     7.3080458E+00    2.0594915E-01
     7.3234370E+00    2.0146625E-01
     7.3388607E+00    1.9697612E-01
     7.3543168E+00    1.9246545E-01
     7.3698055E+00    1.8793172E-01
     7.3853268E+00    1.8335598E-01
     7.4008808E+00    1.7872210E-01
     7.4164675E+00    1.7402938E-01
     7.4320871E+00    1.6925905E-01
     7.4477396E+00    1.6441879E-01
     7.4634250E+00    1.5945418E-01
     7.4791435E+00    1.5442448E-01
     7.4948951E+00    1.4926489E-01
     7.5106798E+00    1.4392727E-01
     7.5264978E+00    1.3848671E-01
     7.5423491E+00    1.3291593E-01
     7.5582338E+00    1.2711850E-01
     7.5741519E+00    1.2116485E-01
     7.5901036E+00    1.1492637E-01
     7.6060889E+00    1.0868790E-01
     7.6221078E+00    1.0262397E-01
     7.6381605E+00    9.6733511E-02
     7.6542470E+00    9.3758313E-02
     7.6703673E+00    9.0778607E-02
     7.6865216E+00    8.7793713E-02
     7.7027099E+00    7.9287409E-02
     7.7189324E+00    6.9148681E-02
     7.7351889E+00    5.7131475E-02
     7.7514798E+00    4.1682609E-02
     7.7678049E+00    2.8404144E-02
     7.7841644E+00    1.8412943E-02
     7.8005584E+00    1.8297000E-02
     7.8169869E+00    1.8181057E-02
     7.8334500E+00    1.8065115E-02
     7.8499477E+00    1.7949172E-02
     7.8664803E+00    1.7833229E-02
     7.8830476E+00    1.7717286E-02
     7.8996498E+00    1.7601344E-02
     7.9162870E+00    1.7485401E-02
     7.9329592E+00    1.7369458E-02
     7.9496666E+00    1.7253515E-02
     7.9664091E+00    1.7137572E-02
     7.9831869E+00    1.7021630E-02
     8.0000000E+00    1.6905687E-02
     1.0000000E+01    0.0000000E+00
     1.0000000E+02    0.0000000E+00
     1.0000000E+03    0.0000000E+00
