;+
;> _WAVE  = 'um'
;> _K_ABS = 'cm+2 g-1'
;-

;~            WAVE            K_ABS
;     1.0000000E-03    1.0000000E+00
     2.1344300E+01    1.9056100E+03
     2.1438200E+01    2.0758283E+03
     2.1485300E+01    2.1800194E+03
     2.1532600E+01    2.2779600E+03
     2.1674800E+01    2.4153093E+03
     2.1914100E+01    2.3598400E+03
     2.2010500E+01    2.2163950E+03
     2.2107400E+01    2.1819466E+03
     2.2204700E+01    2.0734211E+03
     2.2351400E+01    1.9251864E+03
     2.2747400E+01    1.8108694E+03
     2.2847500E+01    1.8862506E+03
     2.3049000E+01    2.0720750E+03
     2.3303400E+01    1.9875596E+03
     2.3509000E+01    1.9165317E+03
     2.3716300E+01    1.8352470E+03
     2.3820700E+01    1.7149050E+03
     2.3925500E+01    1.5630950E+03
     2.4030800E+01    1.4583886E+03
     2.4189600E+01    1.4080463E+03
     2.4296000E+01    1.4609400E+03
     2.4402900E+01    1.5695950E+03
     2.4672300E+01    1.6176834E+03
     2.4726500E+01    1.5285489E+03
     2.5054400E+01    1.2336012E+03
     2.5330900E+01    1.2470350E+03
     2.5723200E+01    1.3526707E+03
     2.5893200E+01    1.4681102E+03
     2.6064300E+01    1.6618556E+03
     2.6236500E+01    1.8296573E+03
     2.6467900E+01    1.9771650E+03
     2.6818900E+01    1.8456868E+03
     2.6996100E+01    1.7220700E+03
     2.7174500E+01    1.5822630E+03
     2.7414200E+01    1.5426849E+03
     2.7716800E+01    1.7217957E+03
     2.7961200E+01    1.8508600E+03
     2.8207800E+01    1.9559300E+03
     2.8394200E+01    1.8546096E+03
     2.8519200E+01    1.7505700E+03
     2.8834000E+01    1.6862600E+03
     2.8960900E+01    1.6673250E+03
     2.9538800E+01    1.4114754E+03
     2.9668800E+01    1.3047114E+03
     2.9864800E+01    1.1757751E+03
     2.9996200E+01    1.0608239E+03
     3.0327300E+01    9.2381709E+02
     3.0662000E+01    9.8831200E+02
     3.0932500E+01    9.9015750E+02
     3.1342600E+01    8.6012292E+02
     3.1549700E+01    7.6540032E+02
     3.1758200E+01    6.7797322E+02
     3.2038300E+01    5.9592130E+02
     3.2463200E+01    5.7798816E+02
     3.2677700E+01    6.4100150E+02
     3.2893600E+01    7.2153966E+02
     3.2965900E+01    7.8356516E+02
     3.3256700E+01    7.6005850E+02
     3.3329800E+01    7.3659696E+02
     3.3623700E+01    7.6917664E+02
     3.3771700E+01    8.1378850E+02
     3.3920300E+01    8.3424666E+02
     3.4069600E+01    7.9886728E+02
     3.4144400E+01    7.7422000E+02
     3.4294700E+01    7.2203107E+02
     3.4521300E+01    6.8654400E+02
     3.4597200E+01    7.0427783E+02
     3.4825800E+01    7.0382633E+02
     3.4979100E+01    7.8082294E+02
     3.5133000E+01    8.5798396E+02
     3.5520800E+01    8.9875244E+02
     3.6309200E+01    7.8376223E+02
     3.6629500E+01    6.7717545E+02
     3.7278500E+01    4.8464230E+02
     3.7855800E+01    3.8902499E+02
     3.8442000E+01    3.4746992E+02
     3.9037400E+01    3.0259650E+02
     3.9729000E+01    3.4813850E+02
     4.0167500E+01    5.3252200E+02
